26,334 ; 26,327 ; 26,263 ; 26,184 ; 26,143 ; 26,069 ; 26,018 ; 25,951 ; 25,903 ; 25,806 ; 25,731 ; 25,663 ; 25,634 ; 25,560 ; 25,472 ; 25,412 ; 25,335 ; 25,274 ; 25,227 ; 25,131 ; 25,092 ; 25,028 ; 24,939 ; 24,885 ; 24,824 ; 24,753 ; 24,686 ; 24,613 ; 24,538 ; 24,505 ; 24,432 ; 24,374 ; 24,311 ; 24,233 ; 24,158 ; 24,135 ; 24,061 ; 23,978 ; 23,948 ; 23,898 ; 23,845 ; 23,802 ; 24,048 ; 23,682 ; 23,570 ; 23,526 ; 23,460 ; 23,387 ; 23,337 ; 23,288 ; 
26,448 ; 26,392 ; 26,306 ; 26,252 ; 26,203 ; 26,122 ; 26,060 ; 26,025 ; 25,930 ; 25,898 ; 25,810 ; 25,762 ; 25,668 ; 25,635 ; 25,561 ; 25,478 ; 25,415 ; 25,335 ; 25,262 ; 25,211 ; 25,148 ; 25,054 ; 24,992 ; 24,927 ; 24,868 ; 24,820 ; 24,753 ; 24,666 ; 24,624 ; 24,572 ; 24,529 ; 24,441 ; 24,376 ; 24,314 ; 24,238 ; 24,194 ; 24,132 ; 24,085 ; 24,021 ; 23,938 ; 24,512 ; 24,427 ; 24,385 ; 24,296 ; 24,256 ; 23,594 ; 23,545 ; 23,466 ; 23,417 ; 23,342 ; 
26,481 ; 26,449 ; 26,401 ; 26,333 ; 26,271 ; 26,190 ; 26,149 ; 26,082 ; 26,025 ; 25,964 ; 25,898 ; 25,827 ; 25,719 ; 25,664 ; 25,626 ; 25,537 ; 25,491 ; 25,407 ; 25,356 ; 25,268 ; 25,213 ; 25,156 ; 25,057 ; 25,022 ; 24,947 ; 24,876 ; 24,805 ; 24,746 ; 24,931 ; 25,222 ; 25,158 ; 25,080 ; 25,048 ; 24,351 ; 24,323 ; 24,231 ; 24,202 ; 24,132 ; 24,080 ; 24,611 ; 24,543 ; 24,486 ; 24,431 ; 24,365 ; 24,308 ; 24,238 ; 23,599 ; 23,518 ; 23,464 ; 23,434 ; 
26,564 ; 26,518 ; 26,466 ; 26,409 ; 26,322 ; 26,273 ; 26,220 ; 26,116 ; 26,077 ; 26,012 ; 25,926 ; 25,855 ; 25,813 ; 25,729 ; 25,654 ; 25,590 ; 25,512 ; 25,742 ; 26,023 ; 25,923 ; 25,848 ; 25,173 ; 25,109 ; 25,066 ; 25,015 ; 24,925 ; 24,874 ; 24,897 ; 25,348 ; 25,292 ; 25,234 ; 25,137 ; 25,095 ; 25,010 ; 24,366 ; 24,297 ; 24,236 ; 24,168 ; 24,113 ; 24,689 ; 24,603 ; 24,555 ; 24,505 ; 24,437 ; 24,385 ; 24,316 ; 23,628 ; 23,581 ; 23,535 ; 23,460 ; 
26,622 ; 26,551 ; 26,477 ; 26,447 ; 26,388 ; 26,325 ; 26,444 ; 26,823 ; 26,730 ; 26,424 ; 25,990 ; 25,934 ; 25,849 ; 25,774 ; 25,714 ; 25,663 ; 25,717 ; 26,153 ; 26,054 ; 25,982 ; 25,910 ; 25,865 ; 25,162 ; 25,096 ; 25,046 ; 24,995 ; 24,909 ; 25,467 ; 25,401 ; 25,333 ; 25,265 ; 25,193 ; 25,162 ; 25,088 ; 24,404 ; 24,351 ; 24,302 ; 24,221 ; 24,164 ; 24,732 ; 24,655 ; 24,584 ; 24,523 ; 24,498 ; 24,432 ; 24,372 ; 23,700 ; 23,657 ; 23,575 ; 23,562 ; 
26,686 ; 26,619 ; 26,560 ; 26,479 ; 26,456 ; 26,815 ; 26,932 ; 26,865 ; 26,774 ; 26,703 ; 26,658 ; 25,974 ; 25,922 ; 25,829 ; 25,791 ; 25,708 ; 26,278 ; 26,201 ; 26,128 ; 26,060 ; 25,976 ; 25,914 ; 25,786 ; 25,179 ; 25,096 ; 25,047 ; 24,960 ; 25,550 ; 25,462 ; 25,407 ; 25,335 ; 25,250 ; 25,187 ; 25,132 ; 24,470 ; 24,429 ; 24,340 ; 24,314 ; 24,244 ; 24,769 ; 24,719 ; 24,670 ; 24,584 ; 24,517 ; 24,489 ; 24,434 ; 23,771 ; 23,702 ; 23,653 ; 23,596 ; 
26,723 ; 26,677 ; 26,605 ; 26,578 ; 26,493 ; 27,057 ; 27,001 ; 26,913 ; 26,834 ; 26,781 ; 26,710 ; 26,074 ; 25,946 ; 25,921 ; 25,838 ; 25,754 ; 26,306 ; 26,258 ; 26,187 ; 26,113 ; 26,051 ; 25,956 ; 25,917 ; 25,239 ; 25,154 ; 25,088 ; 25,034 ; 25,583 ; 25,522 ; 25,439 ; 25,402 ; 25,305 ; 25,267 ; 25,188 ; 24,514 ; 24,469 ; 24,422 ; 24,377 ; 24,286 ; 24,513 ; 24,776 ; 24,707 ; 24,649 ; 24,586 ; 24,517 ; 24,267 ; 23,804 ; 23,748 ; 23,709 ; 23,645 ; 
26,802 ; 26,720 ; 26,674 ; 26,634 ; 26,821 ; 27,108 ; 27,023 ; 26,986 ; 26,925 ; 26,850 ; 26,786 ; 26,626 ; 26,012 ; 25,952 ; 25,870 ; 25,837 ; 26,376 ; 26,277 ; 26,236 ; 26,173 ; 26,079 ; 26,005 ; 25,954 ; 25,291 ; 25,235 ; 25,155 ; 25,081 ; 25,316 ; 25,583 ; 25,533 ; 25,427 ; 25,391 ; 25,332 ; 25,231 ; 24,567 ; 24,533 ; 24,488 ; 24,431 ; 24,353 ; 24,312 ; 24,529 ; 24,783 ; 24,733 ; 24,656 ; 24,417 ; 23,913 ; 23,880 ; 23,838 ; 23,747 ; 23,705 ; 
26,833 ; 26,803 ; 26,742 ; 26,704 ; 26,888 ; 27,142 ; 27,112 ; 27,007 ; 26,969 ; 26,916 ; 26,851 ; 26,605 ; 26,061 ; 26,025 ; 25,958 ; 25,868 ; 26,299 ; 26,361 ; 26,313 ; 26,232 ; 26,149 ; 26,081 ; 25,680 ; 25,339 ; 25,299 ; 25,235 ; 25,151 ; 25,094 ; 25,339 ; 25,560 ; 25,529 ; 25,433 ; 25,331 ; 24,845 ; 24,665 ; 24,609 ; 24,523 ; 24,476 ; 24,427 ; 24,334 ; 24,315 ; 24,471 ; 24,455 ; 24,371 ; 24,077 ; 24,022 ; 23,951 ; 23,883 ; 23,820 ; 23,795 ; 
26,916 ; 26,838 ; 26,778 ; 26,748 ; 26,915 ; 27,233 ; 27,167 ; 27,098 ; 27,023 ; 26,968 ; 26,897 ; 26,459 ; 26,126 ; 26,073 ; 26,012 ; 25,929 ; 26,101 ; 26,411 ; 26,363 ; 26,293 ; 26,230 ; 26,033 ; 25,466 ; 25,418 ; 25,350 ; 25,270 ; 25,211 ; 25,148 ; 25,093 ; 25,289 ; 25,346 ; 25,160 ; 24,903 ; 24,752 ; 24,698 ; 24,636 ; 24,573 ; 24,539 ; 24,493 ; 24,422 ; 24,335 ; 24,318 ; 24,219 ; 24,188 ; 24,132 ; 24,083 ; 24,028 ; 23,966 ; 23,906 ; 23,857 ; 
26,945 ; 26,912 ; 26,852 ; 26,773 ; 26,707 ; 26,992 ; 27,219 ; 27,161 ; 27,057 ; 27,017 ; 26,930 ; 26,295 ; 26,229 ; 26,121 ; 26,083 ; 25,988 ; 25,922 ; 26,119 ; 26,178 ; 26,281 ; 25,989 ; 25,608 ; 25,530 ; 25,456 ; 25,390 ; 25,339 ; 25,267 ; 25,199 ; 25,161 ; 25,093 ; 25,039 ; 24,942 ; 24,918 ; 24,845 ; 24,789 ; 24,694 ; 24,629 ; 24,613 ; 24,507 ; 24,498 ; 24,407 ; 24,345 ; 24,318 ; 24,248 ; 24,174 ; 24,109 ; 24,073 ; 23,990 ; 23,938 ; 23,889 ; 
26,994 ; 26,964 ; 26,924 ; 26,824 ; 26,780 ; 26,767 ; 26,950 ; 27,219 ; 27,132 ; 26,937 ; 26,511 ; 26,338 ; 26,270 ; 26,172 ; 26,112 ; 26,055 ; 26,003 ; 25,933 ; 25,868 ; 25,807 ; 25,715 ; 25,647 ; 25,601 ; 25,522 ; 25,444 ; 25,399 ; 25,337 ; 25,258 ; 25,205 ; 25,141 ; 25,081 ; 25,009 ; 24,940 ; 24,878 ; 24,813 ; 24,747 ; 24,691 ; 24,662 ; 24,570 ; 24,531 ; 24,466 ; 24,386 ; 24,360 ; 24,281 ; 24,208 ; 24,172 ; 24,113 ; 24,040 ; 23,996 ; 23,942 ; 
27,060 ; 27,037 ; 26,938 ; 26,888 ; 26,857 ; 26,754 ; 26,704 ; 26,712 ; 26,680 ; 26,487 ; 26,472 ; 26,388 ; 26,308 ; 26,191 ; 26,196 ; 26,095 ; 26,021 ; 25,976 ; 25,885 ; 25,847 ; 25,757 ; 25,729 ; 25,644 ; 25,585 ; 25,516 ; 25,413 ; 25,387 ; 25,335 ; 25,243 ; 25,180 ; 25,137 ; 25,075 ; 24,997 ; 24,930 ; 24,882 ; 24,826 ; 24,754 ; 24,698 ; 24,645 ; 24,494 ; 24,505 ; 24,438 ; 24,385 ; 24,316 ; 24,263 ; 24,227 ; 24,159 ; 24,113 ; 24,025 ; 23,978 ; 
27,138 ; 27,074 ; 27,046 ; 26,961 ; 26,909 ; 26,845 ; 26,802 ; 26,734 ; 26,654 ; 26,571 ; 26,563 ; 26,486 ; 26,368 ; 26,343 ; 26,278 ; 26,199 ; 26,117 ; 26,076 ; 25,997 ; 25,914 ; 25,866 ; 25,791 ; 25,713 ; 25,654 ; 25,584 ; 25,544 ; 25,464 ; 25,388 ; 25,348 ; 25,274 ; 25,227 ; 25,136 ; 25,092 ; 25,005 ; 24,959 ; 24,898 ; 24,826 ; 24,771 ; 24,723 ; 24,671 ; 24,585 ; 24,553 ; 24,698 ; 25,011 ; 24,841 ; 24,292 ; 24,239 ; 24,172 ; 24,119 ; 24,061 ; 
